ID,Name,Code,Legal form,Status,Registration Date,Capital,Address,Area of Activity,EMTAK Code,NACE Code,Partners,Partner_Participations,Partner_Contributions,Representatives,Representative_Roles,Representative_Start_Dates,Deletion Date
309,AktsiaseltsEspakPÃ¤rnu(10215291),10215291.0,Public limited company,Enteredintotheregister,27.06.1997,Capitalis192Â 000Â â‚¬,PÃ¤rnu maakond PÃ¤rnu linn PÃ¤rnu linn Papiniidu tn 4 80042,Non-specialised wholesale trade,46901 (EMTAK 2008),46.9,,,,\n                                Evelin Laanesaar\n,\n                                Management board member\n,14.06.2006,
310,AktsiaseltsEspakRakvere(10927442),10927442.0,Public limited company,Enteredintotheregister,02.05.2003,Capitalis80Â 000Â â‚¬,LÃ¤Ã¤ne-Viru maakond Rakvere linn RÃ¤gavere tee 46 44312,"Wholesale of wood, construction materials and sanitary equipment",4673 (EMTAK 2008),46.73,,,,\n                                Riho Pikan\xc3\xb5mme\n,\n                                Management board member\n,02.05.2003,
311,aktsiaseltsEspakTartu(10134836),10134836.0,Public limited company,Enteredintotheregister,14.10.1996,Capitalis204Â 096Â â‚¬,Tartu maakond Tartu linn Tartu linn Turu tn 24 51014,Retail sale of other building material and goods in specialised stores,47529 (EMTAK 2008),47.52,,,,\n                                Aivar-Aleksander S\xc3\xb5sa\n,\n                                Management board member\n,26.04.2019,
312,AktsiaseltsESPAKViljandi(10276200),10276200.0,Public limited company,Enteredintotheregister,30.09.1997,Capitalis70Â 016Â â‚¬,Viljandi maakond Viljandi linn Reinu tee 35 71020,Wholesale of sanitary equipment and other construction materials,46732 (EMTAK 2008),46.73,,,,\n                                Timo Riitmuru\n,\n                                Management board member\n,19.05.2011,
313,EspaLivingOÃœ(14954921),14954921.0,Private limited company,Enteredintotheregister,20.04.2020,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Koidu tn 62-15 10142,Repair of furniture and home furnishings,95241 (EMTAK 2008),95.24,"\n                                        Antti Arst\n, \n                                        Gerdi Arst\n","50.00%, 50.00%","\n                                    1250.00 EUR, \n                                    1250.00 EUR",\n                                Antti Arst\n,\n                                Management board member\n,20.04.2020,
314,OÃœEspalux(10925644),10925644.0,Private limited company,Deleted,20.02.2003,,,,,,,,,,,,11.10.2011
315,OÃœEspandel(10543121),10543121.0,Private limited company,Deleted,25.03.1999,,,,,,,,,,,,07.05.2005
316,EspanicoOÃœ(14953366),14953366.0,Private limited company,Enteredintotheregister,16.04.2020,Capitalis2Â 500Â â‚¬,Tartu maakond Tartu linn Tartu linn Narva mnt 121-3a 51008,Language training,85591 (EMTAK 2008),85.59,\n                                        Dagmar Treial\n,100.00%,\n                                    2500.00 EUR,\n                                Dagmar Treial\n,\n                                Management board member\n,16.04.2020,
317,EspaniolymasOÃœ(14486880),14486880.0,Private limited company,Enteredintotheregister,10.05.2018,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kristiine linnaosa NÃµmme tee 37/1 11311,Language training,85591 (EMTAK 2008),85.59,\n                                        Leonardo Rodrigo Unda Padilla\n,100.00%,\n                                    2500.00 EUR,\n                                Leonardo Rodrigo Unda Padilla\n,\n                                Management board member\n,10.05.2018,
318,ESPAOverseasOÃœ(11641363),11641363.0,Private limited company,Deleted,27.04.2009,,,,,,,,,,,,16.01.2016
319,OsaÃ¼hingESPARD(11977755),11977755.0,Private limited company,Deleted,13.08.2010,,,,,,,,,,,,16.11.2015
320,eSparkleOÃœ(14941048),14941048.0,Private limited company,,23.03.2020,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn LasnamÃ¤e linnaosa LÃµÃµtsa tn 5 // Sepapaja tn 4 11415,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,\n                                        ROBERTO SIM\xc5\x8cES BARBEIRO FILHO\n,100.00%,\n                                    2500.00 EUR,\n                                Annika Madissoon\n,\n                                Liquidator\n,29.11.2022,
321,OÃœEsparko(14272340),14272340.0,Private limited company,Enteredintotheregister,05.06.2017,Capitalis2Â 500Â â‚¬,PÃ¤rnu maakond PÃ¤rnu linn PÃ¤rnu linn Kuninga tn 5-2 80011,Landscape service activities,81301 (EMTAK 2008),81.3,\n                                        Oliver Sumberg\n,100.00%,\n                                    2500.00 EUR,\n                                Oliver Sumberg\n,\n                                Management board member\n,05.06.2017,
322,osaÃ¼hingESPARSETT(10359802),10359802.0,Private limited company,Deleted,07.01.1998,,,,,,,,,,,,03.12.2015
323,ESPARTAOÃœ(14093904),14093904.0,Private limited company,Enteredintotheregister,09.08.2016,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn LasnamÃ¤e linnaosa Narva mnt 174c/1-23 13914,Other building completion and finishing,43391 (EMTAK 2008),43.39,\n                                        Madli Beatriz Ladoga\n,100.00%,\n                                    2500.00 EUR,\n                                T\xc3\xb5nis Ladoga\n,\n                                Management board member\n,15.08.2018,
324,OÃœESPARTOINVESTEERINGUD(10660128),10660128.0,Private limited company,Deleted,06.04.2000,,,,,,,,,,,,09.05.2005
325,OÃœEsparto(10889173),10889173.0,Private limited company,Deleted,29.08.2002,,,,,,,,,,,,17.12.2007
326,EspaseOÃœ(12941085),12941085.0,Private limited company,Enteredintotheregister,04.11.2015,Capitalis2Â 500Â â‚¬,Harju maakond Viimsi vald LaiakÃ¼la Elupuu tee 21 74008,Other transportation support activities,5229 (EMTAK 2008),52.29,\n                                        Valerijs Lopatins\n,100.00%,\n                                    2500.00 EUR,\n                                Valerijs Lopatins\n,\n                                Management board member\n,04.11.2015,
327,ESPASGroupOÃœ(12031129),12031129.0,Private limited company,Enteredintotheregister,20.12.2010,Capitalis2Â 556Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa RÃ¤vala pst 8 10143,Wholesale of metals and metal ores,46721 (EMTAK 2008),46.72,"\n                                        Igor T\xc5\xa1ernikov\n, \n                                        Oleg Hropik\n, \n                                        Vladimir Trunov\n","33.33%, 33.33%, 33.33%","\n                                    852.00 EUR, \n                                    852.00 EUR, \n                                    852.00 EUR",,,,
328,ESPasionOÃœ(16149224),16149224.0,Private limited company,Enteredintotheregister,28.01.2021,Capitalis2Â 500Â â‚¬,,Language training,85591 (EMTAK 2008),85.59,\n                                        Diego Fernando Diaz Alonso\n,100.00%,\n                                    2500.00 EUR,\n                                Diego Fernando Diaz Alonso\n,\n                                Management board member\n,28.01.2021,
329,OSAÃœHINGESPATRA(11088305),11088305.0,Private limited company,Enteredintotheregister,23.11.2004,Capitalis2Â 556Â â‚¬,Ida-Viru maakond Narva linn Tallinna mnt 47 20605,"Retail sale of computers, peripheral units and software in specialised stores",47411 (EMTAK 2008),47.41,\n                                        Deniss Hohlov\n,100.00%,\n                                    2556.00 EUR,\n                                Ilja Gorodilov\n,\n                                Management board member\n,15.06.2020,
330,EspavoGruppOÃœ(14453061),14453061.0,Private limited company,Enteredintotheregister,21.03.2018,Capitalis2Â 500Â â‚¬,Tartu maakond Kastre vald Melliste kÃ¼la Oraviku vkt 4 62310,Maintenance and repair of motor vehicles,45201 (EMTAK 2008),45.2,\n                                        Timo Suurmann\n,100.00%,\n                                    2500.00 EUR,\n                                Timo Suurmann\n,\n                                Management board member\n,15.05.2019,
331,ESPAVOOÃœ(16208808),16208808.0,Private limited company,Enteredintotheregister,16.04.2021,Capitalis2Â 500Â â‚¬,Tartu maakond Kastre vald Melliste kÃ¼la Oraviku vkt 4-5 62318,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.2,\n                                        Timo Suurmann\n,100.00%,\n                                    2500.00 EUR,\n                                Timo Suurmann\n,\n                                Management board member\n,16.04.2021,
332,EspavoOÃœ(12238600),12238600.0,Private limited company,Deleted,21.02.2012,,,,,,,,,,,,14.08.2019
333,OÃœESPAXOTSA(14619482),14619482.0,Private limited company,Enteredintotheregister,04.12.2018,Capitalis2Â 500Â â‚¬,JÃ¤rva maakond TÃ¼ri vald Raukla kÃ¼la Otsa 72305,Rental and operating of own or leased real estate,6820 (EMTAK 2008),68.2,\n                                        Aivar Eespere\n,100.00%,\n                                    2500.00 EUR,\n                                Aivar Eespere\n,\n                                Management board member\n,04.12.2018,
334,EspaxOtsaOÃœ(11194728),11194728.0,Private limited company,Deleted,28.11.2005,,,,,,,,,,,,21.05.2018
335,EstfishPartnersosaÃ¼hing(10845922),10845922.0,Private limited company,Enteredintotheregister,01.03.2002,Capitalis40Â 000Â EEK,Harju maakond Tallinn PÃµhja-Tallinna linnaosa Maleva pÃµik 3 11711,"Wholesale of fish, crustaceans and fish products",46381 (EMTAK 2008),46.38,"\n                                        Jaanus Aule\n, \n                                        Olga \xc5\xbdukauskiene\n","50.00%, 50.00%","\n                                    20000.00 EEK, \n                                    20000.00 EEK",\n                                Jaanus Aule\n,\n                                Management board member\n,24.04.2002,
336,EstmanndooKorÃ¼feeOÃœ(11928298),11928298.0,Private limited company,Enteredintotheregister,20.04.2010,Capitalis2Â 556Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa TÃµnismÃ¤gi 2 10122,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.2,\n,100.00%,\n                                    2556.00 EUR,\n                                Daniel Arvid M\xc3\xb6rn\n,\n                                Management board member\n,27.03.2018,
337,EstonianChairOÃœ(12323895),12323895.0,Private limited company,Deleted,03.08.2012,,,,,,,,,,,,07.06.2017
338,EstonianSpaceAgencyOÃœ(11329772),11329772.0,Private limited company,Enteredintotheregister,11.12.2006,Capitalis2Â 556Â â‚¬,Harju maakond Tallinn MustamÃ¤e linnaosa MustamÃ¤e tee 161-87 12913,Culture centres and community centres,93291 (EMTAK 2008),93.29,\n,100.00%,\n                                    2556.00 EUR,\n                                Georg K\xc3\xbcttik\n,\n                                Management board member\n,11.12.2006,
339,EstoniaSpaHotelsAS(10275471),10275471.0,Public limited company,Enteredintotheregister,16.09.1997,Capitalis2Â 786Â 912Â â‚¬,PÃ¤rnu maakond PÃ¤rnu linn PÃ¤rnu linn SÃ¤Ã¤se tn 7 80012,Hotels,55101 (EMTAK 2008),55.1,,,,\n                                Andrus Aljas\n,\n                                Management board member\n,07.01.2013,
340,EstosparentOÃœ(14434216),14434216.0,Private limited company,Enteredintotheregister,21.02.2018,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Pirita linnaosa Randvere tee 115 11913,"Retail sale via stalls and markets of food, beverages and tobacco products",47811 (EMTAK 2008),47.81,\n                                        Aleksandr \xc5\xa0apovalov\n,100.00%,\n                                    2500.00 EUR,\n                                Aleksandr \xc5\xa0apovalov\n,\n                                Management board member\n,21.02.2018,
341,ETEhituspartnerOÃœ(11848986),11848986.0,Private limited company,Enteredintotheregister,04.01.2010,Capitalis40Â 000Â EEK,PÃ¤rnu maakond HÃ¤Ã¤demeeste vald Reiu kÃ¼la Viira tee 63 86508,Engineering activities and related technical consultancy,7112 (EMTAK 2008),71.12,\n                                        Enno Tammekivi\n,100.00%,\n                                    40000.00 EEK,\n                                Eda Huik\n,\n                                Management board member\n,04.01.2010,
342,ETUALSPACEOÃœ(12758156),12758156.0,Private limited company,Deleted,25.11.2014,,,,,,,,,,,,29.11.2019
343,ETUALSPACEOÃœ(12763157),12763157.0,Private limited company,Deleted,03.12.2014,,,,,,,,,,,,26.01.2021
344,EUROPAPARTNEROÃœ(12980831),12980831.0,Private limited company,Enteredintotheregister,19.01.2016,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn NÃµmme linnaosa RÃ¤nnaku pst 12 10917,Electrical installation,4321 (EMTAK 2008),43.21,\n                                        Ralf Ennen\n,100.00%,\n                                    2500.00 EUR,\n                                Tetiana Balan\n,\n                                Management board member\n,22.03.2022,
345,EurospaceOÃœ(11153342),11153342.0,Private limited company,Enteredintotheregister,20.07.2005,Capitalis3Â 000Â â‚¬,Harju maakond Harku vald Tabasalu alevik Mere tee 12 76901,Computer consultancy activities,62021 (EMTAK 2008),62.02,"\n                                        Valeri Seredenko\n, \n                                        Tamara Seredenko\n","75.00%, 25.00%","\n                                    2250.00 EUR, \n                                    750.00 EUR",\n                                Tamara Seredenko\n,\n                                Management board member\n,20.07.2005,
346,ExpospaceOÃœ(12685807),12685807.0,Private limited company,Deleted,07.07.2014,,,,,,,,,,,,11.05.2020
